"File","Case","Games","Player","Expected","Got","Time (ms)","Outcome","Comments","Input hash"
"file1.test","0","clobber_1xn:XOXOXOXO","B","Win","???","881.00","TIMEOUT","This comment should be included for both game cases","554C4E6A617C6442"
"file1.test","1","clobber_1xn:XOXOXOXO","W","Win","Loss","1005.00","FAIL","This comment should be included for both game cases","554D4E6A617C6442"
"file1.test","2","integer:5 integer:-6 clobber_1xn:XOXO","B","Loss","Loss","1915.00","PASS","","0278456C58330239"
"file1.test","3","integer:5 integer:-6 clobber_1xn:XOXO","W","Loss","Loss","161.00","PASS","","0378456C58330239"
"file1.test","4","clobber_1xn:XO integer:1 integer:3 integer:6","B","Win","Loss","1003.00","FAIL","","51566A165E553774"
"many.test","0","integer:400","B","Win","???","368.00","TIMEOUT","","544E40450155420F"
"many.test","1","integer:401","B","Loss","Win","198.00","FAIL","","544E40450155430F"
"many.test","2","integer:402","B","Win","???","1386.00","TIMEOUT","","544E40450155400F"
"many.test","3","integer:403","B","Loss","Win","417.00","FAIL","","544E40450155410F"
"many.test","4","integer:404","B","Win","Loss","361.00","FAIL","","544E40450155460F"
"many.test","5","integer:405","B","Loss","Win","20.00","FAIL","","544E40450155470F"
"many.test","6","integer:406","B","Win","Loss","1253.00","FAIL","","544E40450155440F"
"many.test","7","integer:407","B","Loss","Win","258.00","FAIL","","544E40450155450F"
"many.test","8","integer:408","B","Win","Win","173.00","PASS","","544E404501554A0F"
"many.test","9","integer:409","B","Loss","???","1777.00","TIMEOUT","","544E404501554B0F"
"many.test","10","integer:410","B","Win","Win","1326.00","PASS","","544E40450154420F"
"many.test","11","integer:411","B","Loss","Loss","46.00","PASS","","544E40450154430F"
"many.test","12","integer:412","B","Win","Win","244.00","PASS","","544E40450154400F"
"many.test","13","integer:413","B","Loss","Win","562.00","FAIL","","544E40450154410F"
"many.test","14","integer:414","B","Win","Loss","1588.00","FAIL","","544E40450154460F"
"many.test","15","integer:415","B","Loss","???","988.00","TIMEOUT","","544E40450154470F"
"many.test","16","integer:416","B","Win","Win","1008.00","PASS","","544E40450154440F"
"many.test","17","integer:417","B","Loss","Win","261.00","FAIL","","544E40450154450F"
"many.test","18","integer:418","B","Win","Loss","519.00","FAIL","","544E404501544A0F"
"many.test","19","integer:419","B","Loss","Loss","1045.00","PASS","","544E404501544B0F"
"many.test","20","integer:420","B","Win","???","1957.00","TIMEOUT","","544E40450157420F"
"many.test","21","integer:421","B","Loss","Win","1635.00","FAIL","","544E40450157430F"
"many.test","22","integer:422","B","Win","Win","1681.00","PASS","","544E40450157400F"
"many.test","23","integer:423","B","Loss","Loss","277.00","PASS","","544E40450157410F"
"verylong.test","0","clobber_1xn:XOXOXO","B","Loss","Loss","840.00","PASS","1st case should complete, , , , ,,,, 2nd case should time out","05444D7B74786F07"
"verylong.test","1","clobber_1xn:XOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXO","B","Win","Loss","780.00","FAIL","this should time out","D855587F7F3D3D0F"
"more_tests/file2.test","0","clobber_1xn:XOXOXOXO","B","Win","Loss","494.00","FAIL","","554C4E6A617C6442"
"more_tests/file2.test","1","clobber_1xn:XOXOXOXO","W","Win","Loss","362.00","FAIL","","554D4E6A617C6442"
"more_tests/file2.test","2","integer:5 integer:-6 clobber_1xn:XOXO","B","Loss","Win","69.00","FAIL","","0278456C58330239"
"more_tests/file2.test","3","integer:5 integer:-6 clobber_1xn:XOXO","W","Win","Win","205.00","PASS","","0378456C58330239"
"missing-winner.test","0","integer:1","B","Win","???","1922.00","TIMEOUT","","434A4B0056353E1E"
"missing-winner.test","1","integer:1","W","Unspecified","Loss","1653.00","COMPLETED","","434A4B0156353E1E"
